sample,Strat_m_measured,Strat_m_above_Pryor,avg_d13C_VPDB,SD_1sigma,SE_1sigma,d13C_3pt_avg,depth_3pt_avg
CCC-01,3,-5,-23.381836,NA,NA,NA,NA
CCC-02,4.5,-3.5,-24.5598928,NA,NA,-24.201179999999997,-3.5
CCC-03,6.5,-1.5,-24.6618112,NA,NA,-23.628971466666666,-1.5
CCC-04,10.5,2.5,-21.6652104,NA,NA,-22.985486666666663,2.5
CCC-05,12,4,-22.6294384,NA,NA,-22.432596,4
CCC-06,12.25,4.25,-23.0031392,NA,NA,-23.086930733333332,4.25
CCC-07,12.5,4.5,-23.6282146,0.041793122037963946,0.029552200000001246,-22.80741043333333,4.5
CCC-08,13.75,5.75,-21.7908775,0.05261228005418416,0.037202499999999354,-22.4729814,5.75
CCC-09,14,6,-21.9998521,0.005524625281412115,0.003906500000001144,-21.95184243333333,6
CCC-12,14.5,6.5,-22.0647977,0.16096027223641396,0.11381610000000107,-22.48334583333333,6.5
CCC-11,14.75,6.75,-23.3853877,0.11367604177846843,0.0803811000000003,-22.109728133333334,6.75
CCC-10,15,7,-20.878999,0.14577232568330856,0.10307660000000139,-21.85909283333333,7
CCC-13,15.1,7.1,-21.3128918,0.30296386019735055,0.21422779999999972,-21.207096666666665,7.1
CCC-14,15.6,7.6,-21.4293992,NA,NA,-22.32148473333333,7.6
CCC-15,16,8,-24.2221632,NA,NA,-23.19115533333333,8
CCC-16,16.25,8.25,-23.9219036,0.020489691777088016,0.014488400000001176,-23.7970036,8.25
CCC-17,16.5,8.5,-23.246944,NA,NA,-23.6231428,8.5
CCC-18,16.75,8.75,-23.7005808,NA,NA,-23.520058666666667,8.75
CCC-19,17,9,-23.6126512,NA,NA,-23.102890766666665,9
CCC-20,17.25,9.25,-21.9954403,0.2734233430424311,0.19333949999999864,-22.466067299999995,9.25
CCC-21,17.5,9.5,-21.7901104,NA,NA,-22.146656366666665,9.5
CCC-22,18,10,-22.6544184,NA,NA,-22.501540799999997,10
CCC-23,18.25,10.25,-23.0600936,NA,NA,-23.616053833333336,10.25
CCC-24,18.5,10.5,-25.1336495,NA,NA,-23.7712629,10.5
CCC-25,18.75,10.75,-23.1200456,NA,NA,-23.85086583333333,10.75
CCC-26,19,11,-23.2989024,NA,NA,-23.148490516666666,11
CCC-27,19.25,11.25,-23.02652355,0.35101395800999846,0.24820434999999993,-23.178308366666666,11.25
CCC-28,19.5,11.5,-23.20949915,0.5147677262961676,0.3639957500000008,-23.351389099999995,11.5
CCC-29,19.75,11.75,-23.8181446,1.1021366514011675,0.7793282999999994,-23.986806416666667,11.75
CCC-30,20,12,-24.9327755,NA,NA,-25.054361166666666,12
CCC-31,20.25,12.25,-26.412163399999997,0.1495816513349151,0.10577020000000026,-24.74979778333333,12.25
CCC-32,20.5,12.5,-22.90445445,0.5060500896336287,0.35783144999999905,-24.097301266666665,12.5
CCC-33,20.75,12.75,-22.97528595,0.36612680982294105,0.25889074999999906,-22.924526099999998,12.75
CCC-34,21,13,-22.893837899999998,0.2349389643498709,0.13564207431052988,-22.90064857222222,13
CCC-35,24,16,-22.832821866666666,0.5476218482297459,0.3161696214895642,-22.792687688888886,16
CCC-36,24.25,16.25,-22.6514033,0.7318836613779678,0.5175198999999999,-22.74547652222222,16.25
CCC-37,24.5,16.5,-22.7522044,NA,NA,-22.69273653333333,16.5
CCC-38,24.75,16.75,-22.6746019,NA,NA,-22.637869266666666,16.75
CCC-39,25,17,-22.4868015,0.37689795528872283,0.2665071000000001,-22.880028266666667,17
CCC-40,25.25,17.25,-23.4786814,0.038964694913216816,0.027552200000000582,-23.28459596666666,17.25
CCC-41,25.5,17.5,-23.888305,NA,NA,-23.439629299999996,17.5
CCC-42,25.75,17.75,-22.9519015,NA,NA,-23.285846933333332,17.75
CCC-43,26,18,-23.0173343,NA,NA,-23.208015533333334,18
CCC-44,26.25,18.25,-23.6548108,NA,NA,-23.928540866666665,18.25
CCC-45,26.5,18.5,-25.1134775,NA,NA,-24.468973699999996,18.5
CCC-46,26.75,18.75,-24.6386328,NA,NA,-24.392342666666664,18.75
CCC-47,27,19,-23.4249177,NA,NA,-23.645987899999998,19
CCC-48,28,20,-22.8744132,0.15526990112549166,0.10979239999999989,-23.090987033333334,20
CCC-49,28.25,20.25,-22.9736302,NA,NA,-23.096993299999998,20.25
CCC-50,28.5,20.5,-23.442936500000002,0.4205980697624405,0.24283240879798204,-23.6519378,20.5
CCC-51,29.5,21.5,-24.5392467,NA,NA,-24.069069733333333,21.5
CCC-52,29.75,21.75,-24.225026,NA,NA,-24.195912899999996,21.75
