"sample","depth","age","d13C","section"
"CCC-02",-13.5,110.2739209,-24.20118,"CCC"
"CCC-03",-11.5,110.2739209,-23.6289714666667,"CCC"
"CCC-04",-7.5,110.2739209,-22.9854866666667,"CCC"
"CCC-05",-6,110.2739209,-22.432596,"CCC"
"CCC-06",-5.75,110.2739209,-23.0869307333333,"CCC"
"CCC-07",-5.5,110.2739209,-22.8074104333333,"CCC"
"CCC-08",-4.25,110.2739209,-22.4729814,"CCC"
"CCC-09",-4,110.2739209,-21.9518424333333,"CCC"
"CCC-12",-3.5,110.2739209,-22.4833458333333,"CCC"
"CCC-11",-3.25,110.2739209,-22.1097281333333,"CCC"
"CCC-10",-3,110.2739209,-21.8590928333333,"CCC"
"CCC-13",-2.9,110.2739209,-21.2070966666667,"CCC"
"CCC-14",-2.4,110.2739209,-22.3214847333333,"CCC"
"CCC-15",-2,110.2739209,-23.1911553333333,"CCC"
"CCC-16",-1.75,110.2739209,-23.7970036,"CCC"
"CCC-17",-1.5,110.2739209,-23.6231428,"CCC"
"CCC-18",-1.25,110.2739209,-23.5200586666667,"CCC"
"CCC-19",-1,110.2739209,-23.1028907666667,"CCC"
"CCC-20",-0.75,110.2739209,-22.4660673,"CCC"
"CCC-21",-0.5,110.2739209,-22.1466563666667,"CCC"
"CCC-22",0,110.2739209,-22.5015408,"CCC"
"CCC-23",0.25,110.2739209,-23.6160538333333,"CCC"
"CCC-24",0.5,110.2739209,-23.7712629,"CCC"
"CCC-25",0.75,110.2739209,-23.8508658333333,"CCC"
"CCC-26",1,110.2739209,-23.1484905166667,"CCC"
"CCC-27",1.25,110.2551735,-23.1783083666667,"CCC"
"CCC-28",1.5,110.2364261,-23.3513891,"CCC"
"CCC-29",1.75,110.2177885,-23.9868064166667,"CCC"
"CCC-30",2,110.1991509,-25.0543611666667,"CCC"
"CCC-31",2.25,110.18315675,-24.7497977833333,"CCC"
"CCC-32",2.5,110.1671626,-24.0973012666667,"CCC"
"CCC-33",2.75,110.1511478,-22.9245261,"CCC"
"CCC-34",3,110.135133,-22.9006485722222,"CCC"
"CCC-35",6,109.6004122,-22.7926876888889,"CCC"
"CCC-36",6.25,109.56287665,-22.7454765222222,"CCC"
"CCC-37",6.5,109.5253411,-22.6927365333333,"CCC"
"CCC-38",6.75,109.4971835,-22.6378692666667,"CCC"
"CCC-39",7,109.4690259,-22.8800282666667,"CCC"
"CCC-40",7.25,109.4524478,-23.2845959666667,"CCC"
