bralower La Boca Canyon C_organic,height in m
-22.31553633,108.3733389
-22.36201004,114.5892105
-22.64774061,121.0774305
-22.62612359,135.8853451
-22.22919855,165.2250431
-22.26981191,183.4727321
-22.22712806,203.0398668
-21.72734479,210.9565406
-22.74673297,213.1057549
-21.83114415,215.1910086
-21.60223247,215.9767613
-24.97257693,220.8480845
-24.93081973,223.4911023
-24.61849501,227.7118152
-23.89000276,232.7120913
-21.68408179,241.1012484
-22.64113822,241.6617634
-22.12062115,248.2555529
-22.30777563,250.1128179
-21.74571854,255.3830352
-21.59982897,259.8736895
-21.84932967,263.0552144
-21.24566017,268.3240563
-23.05572754,269.706087
-21.32858093,273.8800331
-22.18150499,276.2881848
-22.07716991,281.8379719
-22.72193058,286.0903213
