bralower Santa Rosa Canyon C_organic,height in m,notes
-25.7741,110.0383801,
-25.1167,112.0472309,
-24.6139,114.2362126,barr-apt boundary
-24.8193,117.521643,
-25.0885,124.2765507,
-24.8687,128.2922943,
-25.242,129.3867852,
-24.5974,132.1239912,
-25.0341,138.1485856,
,,sampling gap
-25.2516,145.8139374,
-25.4059,147.4566526,
-24.1044,149.2814566,
-25.7787,151.2903074,
-24.7481,151.2903074,
-24.1033,154.393649,
-23.7039,154.5737799,
-23.5492,155.4881399,
-24.1029,156.4005419,
-23.6133,156.5826307,
-24.1412,158.2253459,
-24.4372,159.6859723,
-23.561,160.5983743,
-23.8569,162.6072251,
-24.2943,165.52652,
-23.4177,168.265684,
-23.0439,169.7243525,
-23.3397,172.0973809,
-23.4544,177.9379286,
-23.4922,182.5018966,
-23.93,183.050121,
-23.7617,187.4300423,
-24.5208,192.1760991,
-24.5459,195.4615295,
-24.4168,196.5560204,
-24.6997,199.1111376,
-24.854,200.7538528,
-25.8843,201.484166,
-26.3737,202.7627036,
-26.3992,204.0373253,
-25.5746,204.9516853,
-24.7242,205.6819985,
-26.0895,206.9585781,
-24.479,207.5087605,
-23.8463,214.8099346,
-24.4897,218.4595426,
,,sampling gap
-23.7422,220.2843467,
-23.3941,221.5609263,
-24.1024,222.4752863,
-23.5996,224.4821791,
-23.7795,226.1248943,
-24.7585,227.0372964,
-23.2638,228.4979228,
-25.1438,233.0618908,apt-alb boundary
-25.3368,234.1563816,
-25.0529,236.1652324,
-26.4312,237.0776344,
-26.0444,238.5382609,
-24.3949,241.4575557,
-24.2393,246.3857014,
-24.9215,249.3069542,
-24.3414,250.9496694,
-24.5474,251.8620714,
-25.2291,256.7902171,
-25.1767,261.1701384,
-24.4161,263.9093024,
-25.4848,266.4644196,
-25.0577,276.1386221,
-24.632,278.6937393,
-24.6555,290.5569235,
-25.5438,293.1120408,
-25.2982,297.3098732,
-24.4988,300.7793504,
-25.1811,303.3344677,
-26.7776,307.8964777,
-25.6044,311.9122214,
-26.4025,315.1976518,
-25.5906,316.6582782,
-26.0403,322.3167371,
-25.6015,326.3305228,
-25.3303,329.8,
