Serial #,bed_number,StationID,SampleID,Sect. Pt. (m),Sect. Pt. (cm)2,FieldSampleDesc,Geologist,ProjectID,Date,LocationDesc,Latdd,Longdd,Datum,StnUnit,StationComment,SampType1,SampComment
,0,CLC-A,CLC-A-001,0,0,Fine/medium sandstone. Quartz arenite with minor lithium component. Well sorted no CO3,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,Fine/medium sandstone. Quartz arenite with minor lithium component. Well sorted no CO3
2,1,CLC-A,CLC-A-002,3.72,372,Section point: 372 cm,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,
3,1,CLC-A,CLC-A-003,11.12,1112,Section point: 1112 cm,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,
4,2,CLC-A,CLC-A-004,11.5,1150,Red silty mudstone with slickensides.,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,Red silty mudstone with slickensides.
5,2,CLC-A,CLC-A-005,11.75,1175,Red silty mudstone with slickensides.,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,Red silty mudstone with slickensides.
6,2,CLC-A,CLC-A-006,12,1200,Red silty mudstone with slickensides.,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1,44.46806,-109.04525,wgs84,Cloverly Fm,,field,Red silty mudstone with slickensides.
7,3,CLC-A,CLC-A-007,12.25,1225,Red silty mudstone. Slickensides. Lightly effervescent. Grey/green mottling.,M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1 ,44.46806,-109.04525,wgs84,Cloverly Fm,,field,Red silty mudstone. Slickensides. Lightly effervescent. Grey/green mottling.
8,4,CLC-A,CLC-A-008,12.5,1250,"Red mudstone with carbonate nodules. Crumbly, light fizz, truncated by conglomerate.",M. Allen,Bighorn Basin,2022-06-15T16:44:02.000Z,Segment 1 ,44.46806,-109.04525,wgs84,Cloverly Fm,,field,
9,5,CLC-A,CLC-A-009,13.32,1332,top of sandstone channel (conglomerate),M. Allen,Bighorn Basin,6/15/22,Segment 2,44.46806,-109.04525,wgs84,Cloverly Fm,,,
10,6,CLC-A,CLC-A-010,13.57,1357,muddy very fine sand,M. Allen,Bighorn Basin,6/15/22,Segment 2,44.46806,-109.04525,wgs84,Cloverly Fm,,,
