Height_m,Preferred_Age
0,125
0.5,124.962963
1,124.9259259
1.5,124.8888889
2,124.8518519
2.5,124.8148148
3,124.7777778
3.5,124.7407407
4,124.7037037
4.5,124.6666667
5,124.6296296
5.5,124.5925926
6,124.5555556
6.5,124.5185185
7,124.4814815
7.5,124.4444444
8,124.4074074
8.5,124.3703704
9,124.3333333
9.5,124.2962963
10,124.2592593
10.5,124.2222222
11,124.1851852
11.5,124.1481481
12,124.1111111
12.5,124.0740741
13,124.037037
13.5,124
14,109
14.1,108.95
14.5,108.9
15,108.8
15.5,108.6223196
16,107.954371
16.5,107.5415571
17,107.3104051
17.5,107.21176
18,107.1428231
18.5,107.0724159
19,106.9946353
19.5,106.9231503
20,106.8710183
20.5,106.7932122
21,106.7203326
21.5,106.6402269
22,106.5771452
22.5,106.5019386
23,106.4060702
23.5,106.3158887
24,106.2304964
24.5,106.1705012
25,106.0638742
25.5,105.95461
26,105.8519558
26.5,105.7157076
27,105.5951641
27.5,105.4670116
28,105.3157237
28.5,105.1872993
29,105.0420901
29.5,104.925128
30,104.8284153
30.5,104.7775129
31,104.7282548
31.5,104.6808751
32,104.6347779
32.5,104.5751528
33,104.5281081
33.5,104.487371
34,104.4542061
34.5,104.4178212
35,104.3813296
35.5,104.3385312
36,104.304927
36.5,104.2875426
37,104.2583791
37.5,104.2344305
38,104.2082296
38.5,104.1716525
39,104.1312588
39.5,104.0928287
40,104.0696403
40.5,104.0464817
41,104.0249724
41.5,104.0021704
42,103.9812194
42.5,103.9450704
43,103.9175962
43.5,103.8976617
44,103.8717679
44.5,103.8498946
45,103.8261238
45.5,103.8027157
46,103.7802425
46.5,103.7525034
47,103.7281311
47.5,103.7058525
48,103.6792903
48.5,103.651952
49,103.6278935
49.5,103.5978665
50,103.5634993
50.5,103.5344159
51,103.5006278
51.5,103.4676131
52,103.435493
52.5,103.4016953
53,103.3721082
53.5,103.3360879
54,103.3003181
54.5,103.2608704
55,103.2165167
55.5,103.1632423
56,103.1083431
56.5,103.0124727
57,102.4976804
