Height_m,Youngest_Age,Preferred_Age,Oldest_Age_Alpha1,STD,SedRate_Preferred,SedRate_Youngest,SedRate_Oldest
0,125.2293818,125.1025061,128.5651431,1.296861514,0,0,0
0.5,125.0382626,124.945349,128.3626153,1.263262424,2.468797381,2.616168107,1.753821539
1,124.8157489,124.7973352,128.164225,1.247111372,2.520283916,2.247052817,2.363268431
1.5,124.6267533,124.6308186,127.9651166,1.237324823,2.511195758,2.645564437,2.369103926
2,124.4486904,124.4676955,127.7790706,1.230791023,2.68750767,2.807996066,2.806677176
2.5,124.2908522,124.2928097,127.5970781,1.22982977,2.747365982,3.167802011,2.726775224
3,124.1320642,124.1181293,127.4178551,1.231598116,2.789819681,3.148851021,2.887653723
3.5,123.8877018,123.9184349,127.2367093,1.240373593,2.760207573,2.046141892,2.953759154
4,123.6494413,123.7206457,127.0698988,1.252676171,2.997412989,2.098542951,3.504250191
4.5,123.4224862,123.4696527,126.9024998,1.279759205,2.986876165,2.203079236,3.758446072
5,123.112282,123.2766436,126.7416711,1.292632153,3.108897471,1.6118414,3.833563412
5.5,122.921506,122.9982857,126.5800954,1.33309069,3.094524508,2.620875294,4.238295439
6,122.6136363,122.7731026,126.4255097,1.359586519,3.234452312,1.624063573,3.964470399
6.5,122.3494244,122.5076448,126.2682668,1.397071947,3.179793012,1.892420304,3.784300229
7,122.0680188,122.2374217,126.1114843,1.436158793,3.189132959,1.776794708,4.719744158
7.5,121.8238847,121.9902937,125.96087,1.469634531,3.319738149,2.048054441,4.040727341
8,121.580742,121.6904553,125.8090649,1.51783696,3.293696393,2.05640593,4.003578266
8.5,121.3108646,121.3702043,125.6589891,1.569621458,3.33164873,1.852692811,4.104503173
9,121.0384875,121.0726659,125.5109678,1.608464856,3.377892172,1.835690927,4.614350935
9.5,120.7414466,120.7567041,125.3582195,1.649144311,3.273359799,1.683269828,3.816268622
10,120.3680317,120.4391848,125.2101176,1.695228986,3.376053161,1.338992892,4.635795565
10.5,120.0248836,120.1644894,125.0611004,1.724470509,3.355318415,1.457097157,3.556520697
11,119.7213709,119.8593339,124.9079198,1.765284463,3.264120399,1.647377307,3.464536544
11.5,119.4106209,119.5425544,124.7647281,1.802563893,3.491823692,1.609010564,3.439432897
12,119.0433383,119.2322424,124.6167199,1.838060911,3.37818985,1.361349511,2.268540874
12.5,118.669513,118.9044574,124.4710937,1.884842499,3.433448667,1.337523091,2.79082706
13,118.2925018,118.5642656,124.3215667,1.927809248,3.343876976,1.326220611,2.301971496
13.5,117.8725205,118.1894551,124.1680931,1.976769826,3.257889259,1.190529057,2.938511877
14,117.2756295,117.5222644,123.8628096,2.056446243,1.637822021,0.837673869,2.276248876
14.5,115.1486676,115.1595793,122.840837,2.546947796,0.489249926,0.235077091,0.941126573
15,111.7793342,111.5820608,120.5238341,3.31541701,0.215796016,0.148397304,0.863691344
15.5,108.4917414,108.6223196,116.6885414,3.672560985,0.130368144,0.152086964,0.307676843
16,107.6200538,107.954371,112.6828414,3.361140437,0.124822129,0.573599986,0.260073421
16.5,107.2269163,107.5415571,110.2505702,3.058189849,0.205569187,1.271819634,0.31327985
17,107.0922097,107.3104051,109.7464794,2.990003245,0.991884771,3.711770408,0.91498794
17.5,107.0094607,107.21176,109.624715,2.888217138,4.106291016,6.042370492,1.11966555
18,106.9326548,107.1428231,109.516891,2.786170612,4.637182998,6.509910235,1.187380464
18.5,106.8260652,107.0724159,109.4062465,2.692782448,4.518977336,4.690890839,1.18823482
19,106.74585,106.9946353,109.2921399,2.611108509,4.381870348,6.233230783,1.159165587
19.5,106.6662619,106.9231503,109.1830819,2.519895091,4.584716976,6.282351751,1.359636789
20,106.6006445,106.8710183,109.0759304,2.435378096,4.666290528,7.619921362,1.222572236
20.5,106.5241217,106.7932122,108.9693493,2.349647145,4.691262395,6.534006998,1.272325433
