Height (m),Youngest Case,most_likely_0.025,0.5,0.975,Oldest Case
0,111.259,111.289,111.591,111.9,111.888
0.25,111.15,111.207,111.574,111.786,111.776
0.5,111.035,111.099,111.553,111.694,111.688
0.75,110.956,110.996,111.53,111.649,111.649
1,110.858,110.938,111.504,111.619,111.622
1.25,110.78,110.876,111.478,111.599,111.603
1.5,110.697,110.835,111.454,111.58,111.586
1.75,110.636,110.794,111.429,111.566,111.573
2,110.571,110.756,111.405,111.554,111.562
2.25,110.521,110.724,111.381,111.543,111.551
2.5,110.483,110.693,111.357,111.533,111.542
2.75,110.434,110.659,111.333,111.524,111.533
3,110.405,110.631,111.309,111.516,111.524
3.25,110.366,110.609,111.284,111.508,111.516
3.5,110.335,110.59,111.26,111.5,111.508
3.75,110.301,110.569,111.236,111.49,111.499
4,110.271,110.55,111.213,111.482,111.491
4.25,110.245,110.524,111.189,111.474,111.484
4.5,110.22,110.506,111.165,111.465,111.476
4.75,110.199,110.488,111.141,111.457,111.468
5,110.179,110.474,111.117,111.449,111.461
5.25,110.145,110.461,111.093,111.44,111.451
5.5,110.117,110.447,111.069,111.43,111.443
5.75,110.093,110.431,111.045,111.421,111.435
6,110.068,110.42,111.021,111.412,111.427
6.25,110.05,110.409,110.997,111.403,111.419
6.5,110.024,110.393,110.973,111.392,111.41
6.75,110.001,110.379,110.949,111.382,111.402
7,109.978,110.368,110.926,111.371,111.392
7.25,109.958,110.355,110.902,111.361,111.383
7.5,109.936,110.346,110.878,111.352,111.374
7.75,109.912,110.337,110.854,111.342,111.366
8,109.887,110.323,110.83,111.332,111.355
8.25,109.862,110.315,110.806,111.32,111.341
8.5,109.837,110.306,110.782,111.308,111.329
8.75,109.808,110.297,110.759,111.297,111.318
9,109.781,110.287,110.735,111.287,111.303
9.25,109.754,110.278,110.711,111.275,111.292
9.5,109.733,110.267,110.686,111.263,111.28
9.75,109.705,110.258,110.663,111.25,111.27
10,109.679,110.249,110.639,111.236,111.255
10.25,109.652,110.241,110.615,111.221,111.245
10.5,109.626,110.232,110.591,111.21,111.23
10.75,109.6,110.222,110.567,111.191,111.215
11,109.567,110.213,110.543,111.174,111.202
11.25,109.543,110.204,110.519,111.162,111.189
11.5,109.512,110.195,110.495,111.143,111.175
11.75,109.481,110.185,110.471,111.124,111.156
12,109.454,110.177,110.448,111.106,111.137
12.25,109.428,110.169,110.424,111.09,111.109
12.5,109.393,110.161,110.399,111.068,111.087
12.75,109.358,110.152,110.375,111.045,111.067
13,109.325,110.144,110.351,111.011,111.05
13.25,109.291,110.135,110.327,110.988,111.032
13.5,109.255,110.127,110.303,110.963,111
13.75,109.219,110.117,110.279,110.924,110.969
14,109.184,110.106,110.255,110.888,110.935
14.25,109.147,110.095,110.231,110.846,110.901
14.5,109.111,110.08,110.207,110.801,110.861
14.75,109.067,110.063,110.182,110.755,110.816
15,109.022,110.043,110.157,110.691,110.772
15.25,108.978,110.023,110.132,110.606,110.683
15.5,108.936,110.007,110.108,110.523,110.607
15.75,108.895,109.994,110.09,110.421,110.496
16,108.868,109.976,110.079,110.316,110.372
16.25,108.843,109.954,110.069,110.211,110.252
16.5,108.823,109.93,110.06,110.136,110.152
16.75,108.801,109.901,110.053,110.102,110.105
17,108.78,109.868,110.047,110.092,110.094
