sample_ID,depth_m,TOC_(%),d13Corg_VPDB
AH418,1745,2.19,-24.55
AH351,1609,2.46,-25.25
AH417,1731.5,1.29,-24.51
AH350,1607.5,10.38,-23.23
AH416,1726.5,1.89,-24.68
AH349,1606,3,-25.18
AH415,1720.5,2.07,-24.71
AH348,1604.5,1.26,-25.41
AH414,1714.5,2.58,-25.05
AH347,1581.5,2.88,-24.78
AH413,1712,3.72,-25.08
AH346,1580.5,3.24,-24.81
AH412,1710.5,3.66,-25.1
AH345,1579,3.48,-24.78
AH411,1709,3.36,-25.18
AH344,1577.5,2.58,-24.98
AH410,1707.5,4.26,-25.17
AH343,1576,3.06,-25.06
AH409,1706,3.75,-25.09
AH342,1574.5,2.76,-25.06
AH408,1704.5,3.69,-25.16
AH341,1573,3.03,-25.04
AH406,1698.5,3.3,-25.27
AH340,1571.5,2.82,-25.1
AH405,1697,1.68,-25.12
AH339,1571.3,2.55,-25.28
AH404,1695.5,3.18,-25.11
AH338,1570,3.06,-25.29
AH403,1694,3.06,-25.16
AH337,1568.5,3.66,-25.38
AH402,1692.5,2.31,-25.35
AH336,1567,4.23,-25.21
AH401,1691,2.64,-25.24
AH335,1565.5,4.53,-25.21
AH400,1689.5,2.46,-25.35
AH334,1564,3.84,-25.18
AH399,1688,1.32,-25.3
AH333,1562.5,2.88,-25.54
AH398,1686.5,1.14,-25.53
AH332,1561,4.47,-25.24
AH397,1685,3.15,-26.1
AH331,1559.5,3.84,-25.46
AH396,1683.5,2.37,-25.81
AH330,1558,3.99,-25.3
AH395,1682,3.75,-26.05
AH329,1556.5,1.23,-25.25
AH394,1680.5,3.3,-25.47
AH328,1553.5,3.69,-25.47
AH393,1679,1.5,-25.22
AH327,1552,3.66,-25.44
AH392,1677.5,1.53,-25.36
AH326,1550.5,3.06,-25.54
AH391,1676,1.35,-25.27
AH325,1549,2.91,-25.45
AH390,1674.5,1.26,-25.37
AH324,1547.5,2.88,-25.29
AH389,1673,1.14,-25.53
AH323,1546,3.18,-25.35
AH388,1671.5,0.81,-25.84
AH322,1544.5,3.24,-25.41
AH387,1670,1.11,-25.5
AH321,1543,3.15,-25.44
AH386,1668.5,1.14,-25.48
AH320,1541.5,2.94,-25.42
AH385,1667,1.86,-25.75
AH319,1540,3.3,-25.45
AH384,1665.5,1.29,-25.76
AH318,1538.5,2.55,-25.37
AH383,1664,1.32,-26.82
AH317,1537,3.69,-25.49
AH382,1659.5,1.86,-26.47
AH316,1535.5,3.21,-25.49
AH381,1652.5,4.77,-26.39
AH315,1534,3.15,-25.65
AH380,1651,7.44,-26.08
AH314,1532.5,4.11,-25.54
AH379,1649.5,6.18,-25.79
AH313,1531,2.91,-25.27
AH378,1648,5.61,-26.21
AH312,1529.5,2.85,-25.4
AH377,1646.5,6.21,-26.03
AH311,1528,2.34,-25.35
AH376,1645,4.62,-25.72
AH310,1526.5,2.37,-25.43
AH375,1643.5,6.72,-26.47
AH309,1525,1.95,-25.22
AH374,1642,5.76,-23.61
AH308,1523.5,1.47,-25.1
AH373,1640.5,5.22,-23.61
AH307,1522,1.76,-25.06
AH372,1639,4.89,-23.95
AH306,1520.5,3.24,-25.51
AH371,1637.5,8.28,-23.11
AH305,1519,3.03,-25.22
AH370,1636,6.18,-23.71
AH304,1517.5,3.3,-25.38
AH369,1634.5,5.34,-24.2
AH303,1516,4.11,-25.18
AH368,1633,2.58,-24.13
AH302,1514.5,4.23,-25.33
AH367,1631.5,2.55,-24.59
AH301,1513,4.14,-25.43
AH366,1630,4.62,-23.8
AH300,1512,3.48,-25.55
AH365,1628.5,2.37,-24.35
AH299,1511.5,1.92,-25.41
AH364,1627,2.22,-24.49
AH298,1510.5,1.41,-25.43
AH363,1625.5,10.26,-24.39
AH297,1510,0.65,-25.18
AH362,1624,8.31,-26.54
AH296,1372,0.75,-24.5
AH361,1622.5,5.4,-25.75
AH295,1357,0.51,-24.69
AH360,1621,5.16,-25.53
AH294,1345,1.02,-24.75
AH359,1619.5,5.64,-26.24
AH293,1327,1.35,-25.31
AH358,1618,4.29,-25.68
AH292,1307,1.02,-24.68
AH357,1616.5,2.07,-25.19
AH291,1302,0.51,-24.93
AH356,1615,2.1,-24.87
AH290,1264,0.99,-25.25
AH355,1615,2.07,-24.79
AH289,1262,1.08,-24.97
AH354,1613.5,2.22,-24.8
AH288,1260.5,0.87,-25.24
AH353,1612,1.59,-25.27
AH287,1258,1.2,-24.89
AH352,1610.5,2.28,-25.13
AH286,1252,2.07,-25.24
AH285,1246,1.71,-25.36
AH218,722,5.07,-25.31
AH284,1244,1.65,-25.34
AH217,717,4.41,-25.47
AH283,1241,2.13,-25.4
AH216,712,4.47,-25.02
AH282,1238,1.98,-25.37
AH215,707,5.04,-25.07
AH281,1236.5,1.62,-25.48
AH214,702,5.25,-24.91
AH280,1235,1.68,-25.33
AH213,697,4.23,-25.11
AH279,1233.5,1.62,-25.51
AH212,692,4.26,-25.22
AH278,1232,1.94,-25.41
AH211,687,5.16,-24.9
AH277,1231,1.59,-25.35
AH210,682,4.32,-25
AH276,1230.5,1.84,-25.27
AH209,677,4.68,-24.61
AH275,1228.5,2.01,-25.36
AH208,672,3.42,-25.2
AH274,1227.75,1.71,-25.28
AH207,667,4.56,-25.94
AH273,1096,1.89,-25.31
AH206,662,3.12,-25.2
AH272,1092,1.98,-25.19
AH205,657,2.46,-25.19
AH271,1087,2.07,-25.12
AH204,652,2.31,-24.84
AH270,1082,1.92,-25.26
AH203,647,2.04,-23.9
AH269,1077,2.37,-25.5
AH202,642,2.07,-24.96
