Age_Ma_Gradstein,Strat_m,d13Corg_VPBD,Source_C_data
99.387,10.2,1.75,Jarvis_et_al._(2006)
99.371,10.3,1.91,Jarvis_et_al._(2006)
99.355,10.4,1.77,Jarvis_et_al._(2006)
99.274,10.9,1.68,Jarvis_et_al._(2006)
99.226,11.2,1.73,Jarvis_et_al._(2006)
99.177,11.5,1.66,Jarvis_et_al._(2006)
99.105,11.95,1.84,Jarvis_et_al._(2006)
99.089,12.05,1.77,Jarvis_et_al._(2006)
99.048,12.3,1.82,Jarvis_et_al._(2006)
99.016,12.5,1.81,Jarvis_et_al._(2006)
94.206,10.34,5.37,Jarvis_et_al._(2006)
94.203,10.42,5.19,Jarvis_et_al._(2006)
94.199,10.51,5.14,Jarvis_et_al._(2006)
94.196,10.6,5.13,Jarvis_et_al._(2006)
93.935,14.72,5.12,Jarvis_et_al._(2006)
94.186,10.86,5.09,Jarvis_et_al._(2006)
94.186,10.86,5.09,Jarvis_et_al._(2006)
93.821,16.73,5.07,Jarvis_et_al._(2006)
94.189,10.77,5.05,Jarvis_et_al._(2006)
94.189,10.77,5.05,Jarvis_et_al._(2006)
93.942,14.63,5.04,Jarvis_et_al._(2006)
93.816,16.82,5.03,Jarvis_et_al._(2006)
94.111,12.35,4.99,Jarvis_et_al._(2006)
94.111,12.35,4.99,Jarvis_et_al._(2006)
93.929,14.8,4.97,Jarvis_et_al._(2006)
94.193,10.69,4.93,Jarvis_et_al._(2006)
93.844,16.29,4.91,Jarvis_et_al._(2006)
94.065,12.96,4.91,Jarvis_et_al._(2006)
94.065,12.96,4.91,Jarvis_et_al._(2006)
94.091,12.61,4.9,Jarvis_et_al._(2006)
94.091,12.61,4.9,Jarvis_et_al._(2006)
94.13,12.09,4.9,Jarvis_et_al._(2006)
94.13,12.09,4.9,Jarvis_et_al._(2006)
94.173,11.21,4.9,Jarvis_et_al._(2006)
94.173,11.21,4.9,Jarvis_et_al._(2006)
94.153,11.74,4.89,Jarvis_et_al._(2006)
94.153,11.74,4.89,Jarvis_et_al._(2006)
94.222,9.9,4.89,Jarvis_et_al._(2006)
93.812,16.91,4.88,Jarvis_et_al._(2006)
93.903,15.15,4.88,Jarvis_et_al._(2006)
94.052,13.14,4.88,Jarvis_et_al._(2006)
94.052,13.14,4.88,Jarvis_et_al._(2006)
94.124,12.18,4.88,Jarvis_et_al._(2006)
94.124,12.18,4.88,Jarvis_et_al._(2006)
94.17,11.3,4.87,Jarvis_et_al._(2006)
94.17,11.3,4.87,Jarvis_et_al._(2006)
94.226,9.81,4.85,Jarvis_et_al._(2006)
94.013,13.66,4.84,Jarvis_et_al._(2006)
94.013,13.66,4.84,Jarvis_et_al._(2006)
94.137,12,4.84,Jarvis_et_al._(2006)
94.137,12,4.84,Jarvis_et_al._(2006)
94.156,11.65,4.84,Jarvis_et_al._(2006)
94.156,11.65,4.84,Jarvis_et_al._(2006)
94.183,10.95,4.84,Jarvis_et_al._(2006)
94.183,10.95,4.84,Jarvis_et_al._(2006)
94.216,10.07,4.84,Jarvis_et_al._(2006)
94.163,11.47,4.83,Jarvis_et_al._(2006)
94.163,11.47,4.83,Jarvis_et_al._(2006)
94.209,10.25,4.82,Jarvis_et_al._(2006)
94.229,9.72,4.8,Jarvis_et_al._(2006)
93.839,16.38,4.79,Jarvis_et_al._(2006)
94.143,11.91,4.79,Jarvis_et_al._(2006)
94.143,11.91,4.79,Jarvis_et_al._(2006)
94.085,12.7,4.78,Jarvis_et_al._(2006)
94.085,12.7,4.78,Jarvis_et_al._(2006)
94.219,9.99,4.78,Jarvis_et_al._(2006)
93.894,15.33,4.77,Jarvis_et_al._(2006)
93.981,14.1,4.77,Jarvis_et_al._(2006)
93.981,14.1,4.77,Jarvis_et_al._(2006)
94.072,12.88,4.77,Jarvis_et_al._(2006)
94.072,12.88,4.77,Jarvis_et_al._(2006)
94.098,12.53,4.77,Jarvis_et_al._(2006)
94.098,12.53,4.77,Jarvis_et_al._(2006)
94.15,11.82,4.77,Jarvis_et_al._(2006)
94.15,11.82,4.77,Jarvis_et_al._(2006)
94.179,11.04,4.76,Jarvis_et_al._(2006)
94.179,11.04,4.76,Jarvis_et_al._(2006)
94.355,6.39,4.76,Jarvis_et_al._(2006)
123.723,6.97,4.76,Herrle_et_al._(2004)
94.007,13.75,4.75,Jarvis_et_al._(2006)
94.007,13.75,4.75,Jarvis_et_al._(2006)
94.039,13.31,4.75,Jarvis_et_al._(2006)
94.039,13.31,4.75,Jarvis_et_al._(2006)
94.02,13.58,4.74,Jarvis_et_al._(2006)
94.02,13.58,4.74,Jarvis_et_al._(2006)
94.361,6.22,4.74,Jarvis_et_al._(2006)
93.807,16.99,4.73,Jarvis_et_al._(2006)
94.212,10.16,4.72,Jarvis_et_al._(2006)
94.364,6.13,4.72,Jarvis_et_al._(2006)
93.835,16.47,4.71,Jarvis_et_al._(2006)
94.046,13.23,4.71,Jarvis_et_al._(2006)
94.046,13.23,4.71,Jarvis_et_al._(2006)
94.117,12.26,4.7,Jarvis_et_al._(2006)
94.117,12.26,4.7,Jarvis_et_al._(2006)
93.948,14.54,4.69,Jarvis_et_al._(2006)
94.368,6.04,4.69,Jarvis_et_al._(2006)
94.351,6.48,4.67,Jarvis_et_al._(2006)
93.798,17.17,4.66,Jarvis_et_al._(2006)
93.848,16.2,4.66,Jarvis_et_al._(2006)
93.994,13.93,4.66,Jarvis_et_al._(2006)
93.994,13.93,4.66,Jarvis_et_al._(2006)
94.358,6.31,4.66,Jarvis_et_al._(2006)
93.871,15.77,4.65,Jarvis_et_al._(2006)
93.909,15.07,4.65,Jarvis_et_al._(2006)
94.16,11.56,4.64,Jarvis_et_al._(2006)
94.16,11.56,4.64,Jarvis_et_al._(2006)
93.83,16.55,4.63,Jarvis_et_al._(2006)
93.922,14.89,4.62,Jarvis_et_al._(2006)
93.853,16.12,4.61,Jarvis_et_al._(2006)
93.968,14.28,4.61,Jarvis_et_al._(2006)
93.968,14.28,4.61,Jarvis_et_al._(2006)
94,13.84,4.61,Jarvis_et_al._(2006)
94,13.84,4.61,Jarvis_et_al._(2006)
94.374,5.87,4.61,Jarvis_et_al._(2006)
93.862,15.94,4.6,Jarvis_et_al._(2006)
94.371,5.96,4.6,Jarvis_et_al._(2006)
93.898,15.24,4.59,Jarvis_et_al._(2006)
93.866,15.85,4.58,Jarvis_et_al._(2006)
93.876,15.68,4.58,Jarvis_et_al._(2006)
93.916,14.98,4.58,Jarvis_et_al._(2006)
93.961,14.36,4.58,Jarvis_et_al._(2006)
94.239,9.46,4.58,Jarvis_et_al._(2006)
94.378,5.78,4.58,Jarvis_et_al._(2006)
93.885,15.5,4.57,Jarvis_et_al._(2006)
93.889,15.42,4.57,Jarvis_et_al._(2006)
93.857,16.03,4.56,Jarvis_et_al._(2006)
94.059,13.05,4.56,Jarvis_et_al._(2006)
94.059,13.05,4.56,Jarvis_et_al._(2006)
94.104,12.44,4.56,Jarvis_et_al._(2006)
94.104,12.44,4.56,Jarvis_et_al._(2006)
93.803,17.08,4.55,Jarvis_et_al._(2006)
93.955,14.45,4.55,Jarvis_et_al._(2006)
94.262,8.85,4.55,Jarvis_et_al._(2006)
94.232,9.64,4.54,Jarvis_et_al._(2006)
94.259,8.93,4.54,Jarvis_et_al._(2006)
93.88,15.59,4.53,Jarvis_et_al._(2006)
93.974,14.19,4.53,Jarvis_et_al._(2006)
93.974,14.19,4.53,Jarvis_et_al._(2006)
94.033,13.4,4.53,Jarvis_et_al._(2006)
94.033,13.4,4.53,Jarvis_et_al._(2006)
94.269,8.67,4.52,Jarvis_et_al._(2006)
123.661,9.17,4.52,Herrle_et_al._(2004)
93.794,17.26,4.51,Jarvis_et_al._(2006)
94.026,13.49,4.51,Jarvis_et_al._(2006)
94.026,13.49,4.51,Jarvis_et_al._(2006)
94.345,6.66,4.51,Jarvis_et_al._(2006)
94.348,6.57,4.5,Jarvis_et_al._(2006)
94.384,5.61,4.5,Jarvis_et_al._(2006)
93.734,18.39,4.47,Jarvis_et_al._(2006)
94.279,8.41,4.47,Jarvis_et_al._(2006)
93.73,18.48,4.46,Jarvis_et_al._(2006)
93.987,14.01,4.46,Jarvis_et_al._(2006)
93.987,14.01,4.46,Jarvis_et_al._(2006)
94.249,9.2,4.46,Jarvis_et_al._(2006)
93.789,17.34,4.45,Jarvis_et_al._(2006)
94.176,11.12,4.45,Jarvis_et_al._(2006)
94.176,11.12,4.45,Jarvis_et_al._(2006)
94.255,9.02,4.45,Jarvis_et_al._(2006)
94.381,5.69,4.45,Jarvis_et_al._(2006)
94.252,9.11,4.44,Jarvis_et_al._(2006)
94.338,6.83,4.44,Jarvis_et_al._(2006)
93.725,18.57,4.43,Jarvis_et_al._(2006)
93.743,18.22,4.43,Jarvis_et_al._(2006)
94.341,6.74,4.43,Jarvis_et_al._(2006)
93.825,16.64,4.42,Jarvis_et_al._(2006)
94.236,9.55,4.42,Jarvis_et_al._(2006)
123.721,7.03,4.42,Herrle_et_al._(2004)
93.766,17.78,4.41,Jarvis_et_al._(2006)
94.275,8.5,4.41,Jarvis_et_al._(2006)
94.288,8.15,4.41,Jarvis_et_al._(2006)
93.748,18.13,4.4,Jarvis_et_al._(2006)
93.78,17.52,4.4,Jarvis_et_al._(2006)
93.775,17.61,4.39,Jarvis_et_al._(2006)
94.246,9.28,4.39,Jarvis_et_al._(2006)
93.739,18.31,4.37,Jarvis_et_al._(2006)
93.771,17.69,4.37,Jarvis_et_al._(2006)
94.272,8.58,4.37,Jarvis_et_al._(2006)
94.285,8.23,4.36,Jarvis_et_al._(2006)
122.98,33.55,4.36,Herrle_et_al._(2004)
93.753,18.04,4.35,Jarvis_et_al._(2006)
94.388,5.52,4.35,Jarvis_et_al._(2006)
93.784,17.43,4.34,Jarvis_et_al._(2006)
94.282,8.32,4.34,Jarvis_et_al._(2006)
94.335,6.92,4.34,Jarvis_et_al._(2006)
93.762,17.87,4.33,Jarvis_et_al._(2006)
123.273,23.05,4.33,Herrle_et_al._(2004)
123.727,6.83,4.33,Herrle_et_al._(2004)
93.721,18.66,4.32,Jarvis_et_al._(2006)
94.394,5.34,4.32,Jarvis_et_al._(2006)
123.675,8.69,4.32,Herrle_et_al._(2004)
123.719,7.1,4.32,Herrle_et_al._(2004)
93.757,17.96,4.31,Jarvis_et_al._(2006)
94.265,8.76,4.31,Jarvis_et_al._(2006)
94.331,7.01,4.29,Jarvis_et_al._(2006)
94.397,5.26,4.29,Jarvis_et_al._(2006)
123.357,20.05,4.29,Herrle_et_al._(2004)
94.292,8.06,4.27,Jarvis_et_al._(2006)
123.559,12.83,4.27,Herrle_et_al._(2004)
123.655,9.38,4.27,Herrle_et_al._(2004)
94.391,5.43,4.26,Jarvis_et_al._(2006)
