sample,Strat_m_measured,Strat_m_above_Pryor
CCC-01,3,-5
CCC-02,4.5,-3.5
CCC-03,6.5,-1.5
CCC-04,10.5,2.5
CCC-05,12,4
CCC-06,12.25,4.25
CCC-07,12.5,4.5
CCC-08,13.75,5.75
CCC-09,14,6
CCC-10,15,7
CCC-11,14.75,6.75
CCC-12,14.5,6.5
CCC-13,15.1,7.1
CCC-14,15.6,7.6
CCC-15,16,8
CCC-16,16.25,8.25
CCC-17,16.5,8.5
CCC-18,16.75,8.75
CCC-19,17,9
CCC-20,17.25,9.25
CCC-21,17.5,9.5
CCC-22,18,10
CCC-23,18.25,10.25
CCC-24,18.5,10.5
CCC-25,18.75,10.75
CCC-26,19,11
CCC-27,19.25,11.25
CCC-28,19.5,11.5
CCC-29,19.75,11.75
CCC-30,20,12
CCC-31,20.25,12.25
CCC-32,20.5,12.5
CCC-33,20.75,12.75
CCC-34,21,13
CCC-35,24,16
CCC-36,24.25,16.25
CCC-37,24.5,16.5
CCC-38,24.75,16.75
CCC-39,25,17
CCC-40,25.25,17.25
CCC-41,25.5,17.5
CCC-42,25.75,17.75
CCC-43,26,18
CCC-44,26.25,18.25
CCC-45,26.5,18.5
CCC-46,26.75,18.75
CCC-47,27,19
CCC-48,28,20
CCC-49,28.25,20.25
CCC-50,28.5,20.5
CCC-51,29.5,21.5
CCC-52,29.75,21.75
CCC-53,30,22
CCC-54,30.25,22.25
CCC-55,30.75,22.75
CCC-56,31,23
CCC-57,31.25,23.25
CCC-58,31.5,23.5
CCC-59,37.75,29.75
CCC-60,32,24
CCC-61,32.25,24.25
CCC-62,32.5,24.5
CCC-63,32.75,24.75
CCC-64,33,25
CCC-65,33.5,25.5
CCC-66,34,26
CCC-67,35.3,27.3
CCC-68,35.55,27.55
CCC-69,35.8,27.8
CCC-70,36.05,28.05
CCC-71,36.3,28.3
CCC-72,36.55,28.55
CCC-73,36.8,28.8
CCC-74,37.05,29.05
CCC-75,37.3,29.3
CCC-76,37.55,29.55
CCC-77,37.8,29.8
CCC-78,38.05,30.05
CCC-79,38.3,30.3
CCC-80,38.55,30.55
CCC-81,38.8,30.8
CCC-82,39.2,31.2
CCC-83,39.45,31.45
CCC-84,39.7,31.7
CCC-85,39.95,31.95
CCC-86,40.2,32.2
CCC-87,40.45,32.45
CCC-88,40.7,32.7
CCC-89,40.95,32.95
CCC-90,41.2,33.2
CCC-91,41.45,33.45
CCC-92,41.7,33.7
CCC-93,41.95,33.95
CCC-94,42.2,34.2
CCC-95,42.45,34.45
CCC-96,42.7,34.7
CCC-97,42.95,34.95
CCC-98,43.2,35.2
CCC-99,43.45,35.45
CCC-100,43.7,35.7
CCC-101,43.95,35.95
CCC-102,44.2,36.2
CCC-103,44.45,36.45
CCC-104,44.7,36.7
CCC-105,44.95,36.95
CCC-106,45.2,37.2
CCC-107,45.45,37.45
CCC-108,45.7,37.7
CCC-109,45.95,37.95
CCC-110,46.2,38.2
CCC-111,46.45,38.45
CCC-112,46.7,38.7
CCC-113,47,39
CCC-114,47.25,39.25
CCC-115,47.5,39.5
CCC-116,47.75,39.75
CCC-117,48.15,40.15
CCC-118,48.55,40.55
CCC-119,48.95,40.95
CCC-120,49.15,41.15
CCC-121,49.5,41.5
CCC-122,49.85,41.85
CCC-123,50.2,42.2
CCC-124,50.55,42.55
CCC-125,50.95,42.95
CCC-126,51.2,43.2
CCC-127,51.55,43.55
CCC-128,51.8,43.8
CCC-129,52.05,44.05
CCC-130,52.3,44.3
CCC-131,53.8,45.8
CCC-132,54.05,46.05
CCC-133,54.3,46.3
CCC-134,54.55,46.55
CCC-135,54.8,46.8
CCC-136,55.05,47.05
CCC-137,55.3,47.3
CCC-138,55.55,47.55
CCC-139,55.8,47.8
CCC-140,56.05,48.05
CCC-141,56.3,48.3
CCC-142,56.55,48.55
CCC-143,56.8,48.8
CCC-144,57.05,49.05
CCC-145,57.3,49.3
CCC-146,57.55,49.55
CCC-147,57.8,49.8
CCC-148,58.05,50.05
CCC-149,58.3,50.3
CCC-150,58.55,50.55
CCC-151,58.8,50.8
CCC-152,59.05,51.05
CCC-153,59.3,51.3
CCC-154,59.55,51.55
CCC-155,60.05,52.05
CCC-156,60.3,52.3
CCC-157,60.55,52.55
CCC-158,60.8,52.8
CCC-159,61.05,53.05
CCC-160,61.3,53.3
CCC-161,61.55,53.55
CCC-162,61.8,53.8
CCC-163,62.05,54.05
CCC-164,63,55
