Sample,d 13C/12C,%C,Comment
CCC-01,-23.381836,0.068989258,j230209_02
CCC-02,-24.5598928,0.049001929,j230209_02
CCC-03,-24.6618112,0.052712208,j230209_02
CCC-04,-21.6652104,0.133598331,j230209_02
CCC-05,-22.6294384,0.135487575,j230209_02
CCC-06,-23.0031392,0.174008192,j230209_02
CCC-07,-23.5986624,0.282308808,j230209_02
CCC-07,-23.6577668,0.348028523,j230209_04
CCC-08,-21.82808,0.353082577,j230209_02
CCC-08,-21.753675,0.383454425,j230209_04
CCC-09,-21.9959456,0.321231874,j230209_02
CCC-09,-22.0037586,0.345885519,j230209_04
CCC-10,-20.7759224,0.295719105,j230209_02
CCC-10,-20.9820756,0.347081983,j230209_04
CCC-11,-23.4657688,0.246659827,j230209_02
CCC-11,-23.3050066,0.250163031,j230209_04
CCC-12,-21.9509816,0.215892184,j230209_02
CCC-12,-22.1786138,0.238079373,j230209_04
CCC-13,-21.098664,0.130090053,j230209_02
CCC-13,-21.5271196,0.123374751,j230209_08
CCC-14,-21.4293992,0.116672467,j230209_02
CCC-15,-24.2221632,0.180068508,j230209_02
CCC-16,-23.9074152,0.17435949,j230209_02
CCC-16,-23.936392,0.178603824,j230209_02
CCC-17,-23.246944,0.117279706,j230209_02
CCC-18,-23.7005808,0.119640827,j230209_02
CCC-19,-23.6126512,0.154256688,j230209_02
CCC-20,-21.8021008,0.2208781,j230209_02
CCC-20,-22.1887798,0.220792963,j230209_04
CCC-21,-21.7901104,0.194276659,j230209_02
CCC-22,-22.6544184,0.122283296,j230209_02
CCC-23,-23.0600936,0.125808266,j230209_02
CCC-24,-25.1336495,0.119438123,j230209_01
CCC-25,-23.1200456,0.12225332,j230209_02
CCC-26,-23.2989024,0.095132946,j230209_02
CCC-27,-22.7783192,0.17276332,j230209_02
CCC-27,-23.2747279,0.155416621,j230209_08
CCC-28,-23.5734949,0.212652087,j230209_03
CCC-28,-22.8455034,0.217684711,j230209_04
CCC-29,-24.5974729,0.118512913,j230209_03
CCC-29,-23.0388163,0.096067231,j230209_08
CCC-30,-24.9327755,0.10380222,j230209_03
CCC-31,-26.5179336,0.093043935,j230209_03
CCC-31,-26.3063932,0.040794811,j230209_09
CCC-32,-23.2622859,0.655582765,j230209_03
CCC-32,-22.546623,0.71144821,j230209_04
CCC-33,-23.2341767,0.566738046,j230209_03
CCC-33,-22.7163952,0.726891783,j230209_04
CCC-34,-22.9711549,0.353939761,j230209_03
CCC-34,-22.6299842,0.403428722,j230209_04
CCC-34,-23.0803746,0.308050519,j230209_09
CCC-35,-22.7884451,0.451987229,j230209_03
CCC-35,-22.3087386,0.454973925,j230209_04
CCC-35,-23.4012819,0.383266643,j230209_09
CCC-36,-23.1689232,0.212301203,j230209_03
CCC-36,-22.1338834,0.20723857,j230209_04
CCC-37,-22.7522044,0.15695276,j230209_08
CCC-38,-22.6746019,0.141084092,j230209_08
CCC-39,-22.7533086,0.240954012,j230209_03
CCC-39,-22.2202944,0.222836264,j230209_04
CCC-40,-23.4511292,0.169303797,j230209_01
CCC-40,-23.5062336,0.169288184,j230209_03
CCC-41,-23.888305,0.116341791,j230209_08
CCC-42,-22.9519015,0.080834047,j230209_08
CCC-43,-23.0173343,0.122757331,j230209_03
CCC-44,-23.6548108,0.09308506,j230209_03
CCC-45,-25.1134775,0.08585776,j230209_03
CCC-46,-24.6386328,0.084237265,j230209_03
CCC-47,-23.4249177,0.123010046,j230209_03
CCC-48,-22.9842056,0.157405077,j230209_03
CCC-48,-22.7646208,0.141066725,j230209_08
CCC-49,-22.9736302,0.38148171,j230209_08
CCC-50,-23.5694793,0.443309383,j230209_03
CCC-50,-22.973595,0.478482513,j230209_04
CCC-50,-23.7857352,0.410321742,j230209_09
CCC-51,-24.5392467,0.09240725,j230209_03
CCC-52,-24.225026,0.083781779,j230209_03
CCC-53,-23.823466,0.088431772,j230209_03
CCC-54,-24.1467218,0.081644677,j230209_03
CCC-55,-25.4628347,0.079849806,j230209_03
CCC-56,-23.593721,0.035541685,j230209_04
CCC-57,-26.0818274,0.054793096,j230209_01
CCC-58,-23.6262522,0.052089112,j230209_04
CCC-59,-24.0959214,0.033174286,j230209_04
CCC-60,-23.7167296,0.02328809,j230209_04
CCC-60,-25.109251,0.030907357,j230209_08
CCC-60,-25.3595578,0.027941949,j230209_09
