Section,Sample,Metres,δ13Corg ‰ (V-PDB),δ13Ccarb ‰ (V-PDB),δ18Ocarb ‰ (V-PDB),TOC (%)
Inactive quarry,CB-G-1,0,−32.2,,,3.5
,CB-G-2,1,−33.2,7,−9.9,4
,CB-G-3,2,−30.9,,,4.4
,CB-G-4,3,−29.7,10.2,−4.9,2.7
,CB-G-5,4,−30.2,8.8,−1.4,1.6
,CB-G-6,5,−31.3,,,3.9
,CB-G-7,6,−30.2,,,8.2
,CB-G-8,7,−31.3,9.2,−0.1,2.8
,CB-G-9,8,−30.2,8.3,−0.1,1.5
,CB-G-10,9,−27.8,8.1,−7.1,0.5
,CB-G-11,10,−31.9,7.9,−1.8,2.9
,CB-G-12,11,−26.7,8.4,−3.3,15.8
,CB-G-13,12,−26.4,9.5,−0.7,0.6
,CB-G-14,16,−28.1,,,3.5
,CB-G-15,17,−27.2,9.9,−2.9,2.6
,CB-G-16,18,−25.9,6.7,−3.7,1.5
,CB-G-17,19,−28.9,,,3.9
,CB-G-18r,20,−25.3,7,−6.2,0.8
,CB-G-19r,21,−22.9,,,1
,CB-G-20,22,−27.5,3.9,−6.8,3.4
,CB-G-21r,23,−25.5,7.5,−1.2,0.6
,CB-G-22,24,−28.7,6.5,−5.0,2.9
,CB-G-23,25,−28.7,8.4,−7.6,1.3
,CB-G-24,26,−25.7,8.3,−4.2,0.9
,CB-G-25black shale,26.99,−22.7,4.1,−6.5,0.9
,CB-G-25r,27,−22.6,4,−6.4,0.5
,CB-G-26r,28,−22.9,7,−5.7,0.5
,CB-G-27r,29,−23.7,9.5,−2.2,0.6
,CB-G-28,30,−23.2,5.6,−5.2,0.9
,CB-G-29,31,−20.7,,,0.2
,CB-G-30,31.4,−22.2,,,0.1
,CB-G-31,32,−24.4,2.4,−9.4,0.1
,CB-G-32,33,−22.5,3.8,−7.5,0.5
,CB-G-33,34,−27.6,7.1,−8.0,1.3
,CB-G-34,35,−22.7,,,1
,CB-G-36,37,−23.3,2.6,−12.9,0.1
,CB-G-37,39,−21.6,4.1,−12.8,0.2
,CB-G-38,39.49,−22.4,,,1.3
,CB-G-39,40,−23.3,,,0
,CB-G-40,41,−22.7,4.8,−13.7,0.1
