bralower La Boca Canyon C_organic,height in m
-22.3155363307708,108.373338883584
-22.3620100356995,114.589210491785
-22.6477406101958,121.077430535131
-22.6261235866088,135.885345073322
-22.2291985466786,165.225043097402
-22.2698119098144,183.472732126455
-22.2271280614992,203.03986679396
-21.7273447927931,210.956540624674
-22.7467329680423,213.105754917176
-21.831144151196,215.191008592332
-21.6022324680672,215.97676133767
-24.97257693056,220.848084484482
-24.9308197329544,223.491102252829
-24.6184950070358,227.711815249014
-23.8900027600436,232.712091253376
-21.6840817877843,241.101248354154
-22.6411382238893,241.661763441638
-22.1206211455538,248.255552891032
-22.3077756310771,250.11281791404
-21.7457185388962,255.38303523354
-21.5998289677889,259.873689544864
-21.8493296713738,263.055214446339
-21.2456601707607,268.324056268692
-23.0557275429729,269.706087027342
-21.3285809303609,273.880033120523
-22.1815049929641,276.288184750985
-22.0771699146196,281.837971865653
-22.7219305826406,286.090321296225
