bralower Santa Rosa Canyon C_organic,height in m,notes
-25.7741,110.038380137687,
-25.1167,112.04723093177,
-24.6139,114.236212596278,barr-apt boundary
-24.8193,117.521643037284,
-25.0885,124.276550678209,
-24.8687,128.292294322132,
-25.242,129.386785154386,
-24.5974,132.123991207143,
-25.0341,138.14858564515,
,,sampling gap
-25.2516,145.813937359416,
-25.4059,147.456652579919,
-24.1044,149.281456615091,
-25.7787,151.290307409174,
-24.7481,151.290307409174,
-24.1033,154.393649035512,
-23.7039,154.573779905937,
-23.5492,155.488139867766,
-24.1029,156.400541885352,
-23.6133,156.58263070002,
-24.1412,158.225345920523,
-24.4372,159.685972326358,
-23.561,160.598374343944,
-23.8569,162.607225138027,
-24.2943,165.526520005453,
-23.4177,168.265684002454,
-23.0439,169.724352464045,
-23.3397,172.097380887465,
-23.4544,177.93792856656,
-23.4922,182.501896598732,
-23.93,183.050120986981,
-23.7617,187.430042260241,
-24.5208,192.176099107082,
-24.5459,195.461529548088,
-24.4168,196.556020380342,
-24.6997,199.111137618431,
-24.854,200.753852838934,
-25.8843,201.484166041851,
-26.3737,202.762703633017,
-26.3992,204.037325335696,
-25.5746,204.951685297525,
-24.7242,205.681998500443,
-26.0895,206.958578147365,
-24.479,207.508760479858,
-23.8463,214.809934564787,
-24.4897,218.45954263513,
,,sampling gap
-23.7422,220.284346670302,
-23.3941,221.560926317224,
-24.1024,222.475286279054,
-23.5996,224.482179128893,
-23.7795,226.124894349396,
-24.7585,227.037296366982,
-23.2638,228.497922772817,
-25.1438,233.061890804989,apt-alb boundary
-25.3368,234.156381637243,
-25.0529,236.165232431327,
-26.4312,237.077634448912,
-26.0444,238.538260854747,
-24.3949,241.457555722173,
-24.2393,246.385701383682,
-24.9215,249.306954195351,
-24.3414,250.949669415854,
-24.5474,251.86207143344,
-25.2291,256.790217094949,
-25.1767,261.170138368209,
-24.4161,263.90930236521,
-25.4848,266.464419603299,
-25.0577,276.138622111648,
-24.632,278.693739349737,
-24.6555,290.556923522595,
-25.5438,293.112040760684,
-25.2982,297.309873219276,
-24.4988,300.779350419194,
-25.1811,303.334467657282,
-26.7776,307.896477745211,
-25.6044,311.912221389134,
-26.4025,315.19765183014,
-25.5906,316.658278235975,
-26.0403,322.316737100402,
-25.6015,326.330522800081,
-25.3303,329.799999999999,
